age,job,marital,education,default,housing,loan,contact,month,day_of_week,unique_id
32.0,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,1d4f15c6-0177-4076-a3ee-94cb52878184
38.0,admin.,single,professional.course,no,no,no,telephone,may,mon,5fb933a4-d8a9-4d77-b378-341a31e91172
57.0,admin.,married,university.degree,no,no,yes,telephone,may,mon,f2c805d0-9e64-4f95-8eb7-4e4c9638673a
44.0,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,b69ae1a3-1d58-4e41-9f73-60df5fda702f
42.0,technician,single,professional.course,unknown,no,no,telephone,may,mon,3192eda6-8f6d-4a49-8b03-a655ec898f8a
57.0,admin.,married,university.degree,no,yes,yes,telephone,may,mon,5dda2ea4-5856-4b95-a08e-341f792a07bc
40.0,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,2436eedc-59bf-47c2-baa1-4cd86bd44eaa
35.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,6534e6de-4f55-46bb-b742-c4cd1e7bbdcd
45.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,78d729a6-fd38-4850-97fa-8ac1a6fdc486
54.0,admin.,married,high.school,no,no,no,telephone,may,mon,5a5fd999-5893-4cf1-9c59-1e4e9016beb8
39.0,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,32c8b317-c112-4ebf-abea-7cf715e96b45
60.0,admin.,married,high.school,no,no,no,telephone,may,mon,d664da8a-ad6f-4f55-9181-8dde0bdf7e1a
53.0,admin.,single,professional.course,no,no,no,telephone,may,mon,8f71d01d-ed39-4e29-aaa1-0ecf1171a06f
55.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,4cf5536d-0d01-4a33-b7b1-98ac1d8834f6
55.0,technician,married,professional.course,unknown,yes,no,telephone,may,mon,5d755f14-d7b4-42ce-92db-5cfc81206c82
50.0,management,married,university.degree,unknown,no,yes,telephone,may,mon,9cd09bfc-84e0-4d14-ac2b-fd170bd0c463
5.0,services,married,high.school,unknown,yes,no,telephone,may,mon,0db568c7-2eae-44cb-88c5-503d210ff356
55.0,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,1de74707-1af0-45d3-9428-85b0fee3569b
25.0,technician,single,university.degree,no,yes,no,telephone,may,mon,2b0403a7-78ed-4b53-8b3a-f2179ce209d1
47.0,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,1663b19d-2c93-4434-a061-ac50110cca4c
51.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,b4bacaf4-fdd3-4bd9-a06c-28ea61dc9daf
42.0,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,362181f0-05e4-4f65-a3e2-06a1661f7c7d
42.0,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,260ada8c-a82f-4dd4-a765-abbf1dc65c96
48.0,admin.,married,high.school,no,no,no,telephone,may,mon,dd5597c4-0761-42e4-b206-abad5bad11ab
37.0,admin.,married,university.degree,no,no,no,telephone,may,mon,2888d962-4ce7-4c4a-bcca-a080896dbcf6
44.0,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,936d6bd7-02eb-4f5e-9958-14843019ea63
33.0,admin.,married,unknown,no,yes,no,telephone,may,mon,4c72c892-e02f-4a79-ba98-9d39ebdaecd9
56.0,admin.,married,basic.9y,no,yes,no,telephone,may,mon,967f5aad-f7e6-41e7-a495-c55e3531ac1a
44.0,blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,b366c1fe-0ac2-4694-baad-b8773297b153
41.0,management,married,basic.6y,no,no,no,telephone,may,mon,afb4bc93-53f5-41d8-a504-605d1d90845e
44.0,management,divorced,university.degree,no,yes,no,telephone,may,mon,417357f4-1cb9-4448-bcfd-4ff848fe60e6
47.0,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,acf612f4-e3dd-479c-94b0-bb6aa49525b1
57.0,unknown,married,unknown,unknown,no,no,telephone,may,mon,79760092-6d74-4852-af3f-ea6182d03cad
37.0,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1cf39049-8b41-4839-a9d3-1f59be8de548
41.0,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,11a92012-7c9b-4374-b369-991541257112
55.0,technician,married,university.degree,no,no,no,telephone,may,mon,9022fec2-42de-4c1f-9da5-13a9ab527566
33.0,services,married,high.school,unknown,yes,no,telephone,may,mon,8472d47f-ab94-4069-9791-35b359c4ac4e
55.0,management,married,unknown,unknown,yes,no,telephone,may,mon,ef89f20a-61e9-4eea-a94f-6b872085b365
-42.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,cb2cba6d-14bb-4d6c-9aad-152a91be9824
50.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,91fddd90-a8fa-4293-9c6d-ff219980e21b
51.0,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,f44da45d-f470-4a0e-8da8-cc7d2a75e353
38.0,admin.,married,high.school,unknown,no,no,telephone,may,mon,ee6db94e-1097-4225-89a5-5a1548c6b98a
49.0,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,5e12e80a-21d5-472e-b2d5-231f27a30078
38.0,technician,single,university.degree,no,no,yes,telephone,may,mon,baaf1c4c-fc82-404d-b441-5679313dfc6b
31.0,admin.,divorced,high.school,no,no,no,telephone,may,mon,e8ffbc20-d828-43c4-9c98-73c9707e5516
41.0,management,married,basic.6y,no,no,no,telephone,may,mon,62735105-234f-4817-94ed-3c60b156dd0e
39.0,admin.,married,university.degree,no,yes,yes,telephone,may,mon,b553b979-b7b2-41ef-8de7-e4d1f01ea1f4
49.0,technician,married,basic.9y,no,no,no,telephone,may,mon,abf3368c-af5d-4a8a-ab04-e46dcd919614
34.0,admin.,married,high.school,no,yes,no,telephone,may,mon,a7871a76-5861-43a4-877e-c4bb21dab304
35.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,594b5247-f47b-41f4-9843-75ea5bff2369
57.0,unknown,married,unknown,unknown,yes,no,telephone,may,mon,780adb39-5e29-487d-a43d-15ecb175a34e
60.0,admin.,married,unknown,unknown,no,yes,telephone,may,mon,630bfc2b-af1a-4115-bad8-00e8f10023fb
33.0,unemployed,married,basic.9y,no,no,no,telephone,may,mon,5be45be4-cebd-4b22-bd04-c8811a7d2b01
42.0,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,d7dcb24e-f08e-4d67-b399-f641e14c36e9
45.0,services,married,professional.course,no,yes,no,telephone,may,mon,0c7569ac-5ace-4851-92d9-849a0b713118
42.0,management,married,university.degree,no,no,no,telephone,may,mon,8396f91e-d3e1-47ef-85e5-ad6aea6afe0d
53.0,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,f5e5a5e9-9231-4c3b-9a3d-1f6138017b3a
37.0,technician,single,professional.course,no,no,no,telephone,may,mon,af1055d3-afc6-4fd5-a062-d757bd851846
44.0,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,5d4aedee-d5ae-4611-8aa9-23f9a1ad5375
54.0,services,married,unknown,no,yes,no,telephone,may,mon,51b17786-2589-4df5-974a-8e603552a580
49.0,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,7f727d9c-44e5-4c80-8a6e-969e49318772
54.0,services,married,unknown,no,no,no,telephone,may,mon,08ad0837-ca11-4913-ba0f-2b0533ba9359
52.0,admin.,divorced,university.degree,no,no,no,telephone,may,mon,57b1b578-6ae4-4bff-bd35-1a264c19378c
52.0,admin.,divorced,university.degree,no,no,no,telephone,may,mon,73008ff2-8468-4a88-9a57-72482c354091
43.0,services,single,high.school,unknown,no,no,telephone,may,mon,6a0303a9-54fd-4cb8-8957-dfed4de69706
34.0,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,d598a28a-c2f1-47c0-b7d4-50c33d6a73e8
35.0,admin.,married,high.school,no,yes,no,telephone,may,mon,7c6b8878-dbf0-4633-a565-d9feec6f42c9
42.0,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,7f7d5a79-c391-4bf9-97f5-f045b73783f3
43.0,technician,married,unknown,unknown,yes,yes,telephone,may,mon,022c82bf-73d6-4894-be15-f85f7d07e7f0
60.0,retired,divorced,university.degree,unknown,no,no,telephone,may,mon,37afff86-8cfd-43c5-83b8-9595d13291fb
58.0,unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,f9f3bde0-2da7-430f-9e60-bb4c59b6260c
35.0,services,divorced,high.school,no,yes,no,telephone,may,mon,2873cfc3-b1f2-47ca-9c4f-4fa8c50c435f
55.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,9e2afe85-f170-42f7-8f6c-964d87fe19f8
37.0,management,married,university.degree,no,no,no,telephone,may,mon,d26c1031-5a8c-4727-975e-6cbdff903fb9
36.0,blue-collar,married,high.school,no,no,no,telephone,may,mon,228ca5f8-a1a9-416e-b930-01648f8b0426
52.0,admin.,divorced,university.degree,no,no,no,telephone,may,mon,64f4f930-d77d-45bd-8c46-ee54e7b09595
57.0,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,a68a9cef-90a9-47a1-be3b-2a175f681a83
56.0,admin.,married,unknown,no,yes,no,telephone,may,mon,cc99fdd0-18da-49ac-8a0b-2de19cd5485b
48.0,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,8a153e28-c6fe-45bc-b2d8-1a9999200b66
40.0,blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,1821ad47-056b-4d4f-b350-11c6cad695da
49.0,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,3fab0cd0-26fb-492b-a281-537807b47336
41.0,services,married,high.school,no,no,no,telephone,may,mon,0fb8e15d-d6a7-4376-bdaf-e185338f7e67
45.0,technician,married,high.school,no,yes,no,telephone,may,mon,3c699a9b-13eb-4bbe-b994-b30e9d23dc58
32.0,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1939680e-9fbc-48fe-a10b-36271116d1ca
42.0,admin.,married,university.degree,no,no,yes,telephone,may,mon,657e760d-0ede-4ea7-b946-3c3ec411b1fd
50.0,admin.,married,basic.6y,no,no,no,telephone,may,mon,5f0a270a-b20b-4ed7-89ef-3c9bb9599866
31.0,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,7e34f8b2-f8ab-4ad6-99ab-94348ec78777
56.0,retired,married,basic.4y,no,yes,no,telephone,may,mon,ede3175d-60ab-4a97-be0b-31d7547d5680
41.0,technician,married,professional.course,unknown,yes,no,telephone,may,mon,32875e81-2a5e-4d24-8165-78ca43e3464d
37.0,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,4471f00f-3e89-4c59-b21d-686f5303c04b
41.0,technician,married,professional.course,unknown,no,no,telephone,may,mon,f1879f1c-b9d9-45b5-9084-b3591be47d4b
0.0,blue-collar,married,unknown,no,yes,no,telephone,may,mon,9c2d1364-d9e5-41aa-8747-94f2ebb4ce3e
37.0,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,8301a98c-1141-459e-9bdb-d303bf377a5b
52.0,management,married,university.degree,no,no,no,telephone,may,mon,2b288c0b-6b20-4ca2-8412-ccb2f14bb3b1
39.0,management,divorced,university.degree,no,no,no,telephone,may,mon,412ee78f-6877-44f2-9fcc-e149618f382e
39.0,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,ee2d95fb-c481-404a-aa33-8ce0428ca99b
56.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,89759a0f-860a-47c4-8126-9fd435c34626
34.0,services,married,high.school,no,yes,no,telephone,may,mon,92b0bda3-f827-49b6-9baf-81874beaab76
45.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,802063c1-b926-437e-80c0-221be42da6b9
43.0,unemployed,single,university.degree,no,yes,no,telephone,may,mon,0c50209e-dd20-4491-8548-d5f2ad50027e
56.0,management,married,unknown,no,yes,no,telephone,may,mon,5eb72055-6ab0-4e1a-90e7-1864396f6841
39.0,management,married,university.degree,no,yes,no,telephone,september,mon,8b4b8500-dba5-4660-b421-6e58ee422c0e
53.0,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,1cbfc083-4f5b-4990-86f9-7a2f00efe892
38.0,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,8ece2d56-9f42-4920-aa99-e2342865dbac
42.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,223ee9a5-414d-46f2-bdab-d4f9ce7ad55e
42.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,375a5e5d-4030-4a5e-af61-743c0e1ec2e5
35.0,admin.,single,high.school,no,yes,no,telephone,may,mon,6bf24600-c817-443d-bde2-8a8a991caf4c
40.0,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,fdb2d6c0-c3a2-4e98-991b-9c0e3381f9c4
51.0,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,709f37a5-fb52-4650-95c2-ea1edaca7bd6
60.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,5ff6eab3-6673-4cfa-be7c-48caa6609e2a
56.0,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,260edd3b-de7e-476c-845c-9bc27508eee3
39.0,services,divorced,high.school,unknown,yes,no,telephone,may,mon,c2267403-3e20-4519-ae9b-2e1c2dd158c1
56.0,entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,8ed1ad13-461d-43d7-aa61-2a27d624890d
40.0,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,22a4c413-cdd4-48fd-b805-bcba508bd34e
36.0,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,9a1f6c75-5fe5-4814-9a9d-710fa1059c9a
51.0,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,faae448f-1744-4717-aa1a-65a951b7b630
12.0,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,6c53c4ae-73d0-430d-b1bf-5b5676194044
43.0,technician,single,professional.course,no,yes,no,telephone,may,mon,a4893a40-b03c-489e-a7d2-947b71b30f0b
59.0,services,married,high.school,no,no,no,telephone,may,mon,f0769b61-2143-4a73-a394-ea761a58e329
24.0,management,single,university.degree,no,yes,no,telephone,may,mon,3287d5c1-5fb6-4eb3-ad01-a4c595410917
37.0,blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,8ebbe542-dc28-45f5-b66c-b2093cdf6d14
40.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,df3f91aa-14ec-4739-910d-4afe72fac24b
42.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,f68ab78c-4018-4965-8448-17d3656d6513
39.0,services,divorced,high.school,unknown,no,no,telephone,may,mon,c6e37892-0005-4e1a-9011-b4b5568d28c4
37.0,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,3a2290a3-76e8-4ddf-b5bd-6bb1c2def529
999.0,services,married,high.school,no,yes,yes,telephone,may,mon,22af637c-4d43-4c65-8cb3-b81b51ee4340
56.0,admin.,divorced,unknown,unknown,no,no,telephone,may,mon,87780041-352b-4e62-a861-ae01859983ff
40.0,blue-collar,married,unknown,no,no,no,telephone,may,mon,f3461885-5246-47cc-bb99-023a3370fe6b
54.0,management,divorced,university.degree,no,yes,no,telephone,may,mon,abd88289-d1b6-412d-9e9b-f73894f80779
43.0,blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,0275fa48-1ceb-4bf6-afc5-0c919d7353a8
36.0,services,married,high.school,unknown,no,no,telephone,may,mon,67a373d1-3cd8-485c-8925-c761c5705e60
45.0,technician,married,university.degree,no,yes,yes,telephone,may,mon,d5f4336a-830a-49df-b987-218d588d34e1
42.0,admin.,single,university.degree,unknown,no,no,telephone,may,mon,fbac8cc5-02a3-468f-96c1-3bd0b7073631
43.0,services,married,high.school,no,no,no,telephone,may,mon,572b2c80-c17a-4688-ab10-9038cace3468
46.0,management,married,basic.9y,no,no,no,telephone,may,mon,ef256041-8bbe-4358-a815-0aeb306e9f4f
44.0,services,married,high.school,no,yes,yes,telephone,may,mon,95fa1446-3b16-4a6f-b6cb-da8720857625
51.0,admin.,single,basic.6y,no,no,no,telephone,may,mon,1a362865-595c-400a-90f7-cefe9de78bbf
28.0,services,married,high.school,no,yes,no,telephone,may,mon,f42b09f2-63d0-4fdd-8136-d53a9c3bc0e5
37.0,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,56903bbd-5ce7-4f2b-b3ef-66ceea08944d
34.0,technician,married,high.school,no,no,no,telephone,may,mon,1fd2de61-be87-4f0a-beda-c0b10d8706ca
46.0,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,1070a8e1-5bf6-4687-a81c-22c64cfbd5dc
42.0,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,9a9bfd68-72d5-4b22-a5e0-d6a84e60071d
36.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,a799e6f4-fa77-40b4-ae33-991bbac1408d
54.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,34560734-9c8f-40ce-94d2-b56563799efd
57.0,management,married,university.degree,no,no,no,telephone,may,mon,945dfe41-affb-45fa-bbac-dea87738e754
51.0,technician,married,basic.6y,unknown,no,no,telephone,may,mon,7d8ba9ce-7aa2-4626-9acc-c87ee8a10c63
54.0,retired,married,high.school,unknown,no,no,telephone,may,mon,a89e91c3-3e7c-49c4-a816-2942bec7dd93
49.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,7d26e776-4d83-489d-a866-8249df55caae
34.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,bf24a19e-b3f2-4d32-8f93-b379e0976c5a
41.0,technician,married,professional.course,no,no,no,telephone,may,mon,e2f5f3e3-83ad-4716-a336-d14e1fe1dab1
38.0,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,8250c5a6-7c11-4ac8-ab8f-58624bbfa5a5
45.0,management,divorced,university.degree,no,no,no,telephone,may,mon,ca07c29a-2419-40da-af6c-2832d4a42b82
42.0,technician,married,university.degree,no,no,no,telephone,may,mon,a73bb364-77cc-46b7-8298-18bbc935cffa
34.0,blue-collar,single,basic.9y,unknown,yes,no,,may,mon,08697727-d86e-49fa-994d-acd21dc70869
48.0,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,9e3e4c7f-87d4-40dc-9fd7-5a88498dbe3a
37.0,admin.,married,high.school,unknown,yes,no,telephone,may,mon,477e1620-f5c7-4cc7-ba11-02b3706f7674
34.0,blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,7dbf19c5-5dfb-4926-84f2-dd2957437716
40.0,admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,2a6785e2-7d3d-4cd3-9a0f-7eca4032b8b1
43.0,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,e4468087-ed5d-40db-94ad-0754d78c4102
33.0,services,married,high.school,no,no,no,telephone,may,mon,78e78534-f373-469f-a115-3fc5fa3733de
32.0,services,single,basic.6y,no,no,no,telephone,may,mon,d29fc75f-3f61-4017-b820-0b2cce95088e
39.0,blue-collar,married,high.school,no,yes,no,telephone,may,mon,790c8f09-6639-4312-9b7f-4ee4ef26a3dd
43.0,admin.,married,unknown,no,no,no,telephone,may,mon,8f5e8654-15bf-482e-bc8c-38b2da55102a
44.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,a0c4ad28-992f-45f3-b9f9-ce774706aca7
12.0,student,single,university.degree,unknown,no,no,telephone,may,mon,c2a2854c-86c2-4d37-b5f7-2d60f9c621ab
35.0,student,single,university.degree,unknown,yes,yes,telephone,may,mon,5124afed-bd08-40e9-be1c-8a623bfabcef
35.0,unemployed,married,professional.course,no,no,no,telephone,may,mon,2cf3aff3-7eb9-42e1-9c31-52de987d100e
36.0,services,single,basic.4y,no,no,no,telephone,august,mon,d78bf368-bf1c-4421-b4e7-d0c1636c35cd
,student,single,university.degree,unknown,yes,no,telephone,may,mon,ab70e38d-bf30-4a9a-81da-03b383ced9b8
36.0,student,single,basic.9y,no,yes,no,telephone,may,mon,e24593bf-0edf-44cd-941e-d47a1252d25e
55.0,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,40bb1b60-fbcf-4764-8943-9928f379bf00
59.0,admin.,married,university.degree,no,no,no,telephone,may,mon,07d75221-e63b-431c-ae61-b6ef4264ad92
57.0,retired,married,unknown,unknown,no,no,telephone,may,mon,eb0eec1b-d9c4-4f56-bbe5-622353b0fbbf
39.0,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,dc1ce858-9dec-4b7f-a1d1-d60255bf8ec2
39.0,housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,3ff8892e-6bfa-48ff-86b3-7f1efd93c086
30.0,blue-collar,single,unknown,no,yes,no,telephone,may,mon,8358a2fe-b9e8-4893-a98c-c97a13e49be1
30.0,blue-collar,single,unknown,no,yes,yes,telephone,may,mon,b9d584ef-7d98-4c23-88a8-aecf16f7b628
50.0,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,93538241-ed27-41a4-8ae4-d9c70b06bbd0
40.0,services,married,high.school,no,no,no,telephone,may,mon,e251e962-6a6a-47c9-96b9-4fb2081da044
35.0,admin.,married,high.school,no,yes,no,telephone,may,mon,ddb81768-50bd-472c-ab13-d873f96c2c52
43.0,technician,married,unknown,unknown,no,no,telephone,may,mon,9175ce61-795a-4a76-9d93-381db299a106
36.0,services,single,basic.6y,unknown,yes,no,telephone,may,mon,e8b1564f-c805-482e-88c0-79bb5df44b8f
46.0,technician,married,basic.4y,unknown,yes,no,telephone,may,mon,51ddedc3-fa7a-4646-b405-9bbe73a29be1
40.0,technician,married,basic.9y,no,no,no,telephone,may,mon,b86660ed-a728-4c80-95a5-3c6011adfecf
58.0,retired,married,university.degree,no,no,no,telephone,may,mon,afda8b8b-9b23-4cc7-9e46-93f041153175
42.0,technician,married,university.degree,no,no,no,telephone,may,mon,25beaef1-3636-4e7d-9505-d6bb27d4b155
35.0,admin.,single,university.degree,no,no,no,telephone,may,mon,58359d24-efa5-43d9-901c-1bc8f8f954ab
43.0,retired,married,basic.4y,unknown,no,no,telephone,may,mon,739563e4-e442-4993-9cc3-8ffb3f2193e8
45.0,blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,2c27b821-fc77-4dff-b237-8772bf131a24
39.0,admin.,married,professional.course,no,yes,no,telephone,may,mon,ddfd2fb5-7d37-4080-9d21-a79244e196c8
50.0,services,divorced,professional.course,no,yes,no,telephone,may,mon,cd4a0ab2-305c-44f2-85c6-e2c52c160332
32.0,management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,e8f6e6f1-9bb1-4130-a54f-9e75b5bc3a43
39.0,admin.,married,high.school,unknown,no,no,telephone,may,mon,460b693f-043c-43e5-9306-96be2eeee0db
52.0,self-employed,married,university.degree,unknown,no,no,telephone,may,mon,91eae883-2e1a-4873-964a-59b302f3d999
44.0,admin.,married,professional.course,no,yes,no,telephone,may,mon,bf9a11f0-1133-4ec9-8a51-0b3aa70dcf2f
